דרך,כיוון,שנה,חודש,ממוצע יומי באלפים,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
דרך 4 קטע 30 מק''מ 64.6 עד ק''מ 65.8 מצומת ברכיה עד צומת אבא הלל מקום הצבה 65.6,0,2019,7,48.3,808,500,352,314,529,1465,2485,2679,2745,2624,2680,2707,2670,2712,2816,2926,2973,2896,2568,2200,2062,1909,1471,1162
דרך 4 קטע 30 מק''מ 64.6 עד ק''מ 65.8 מצומת ברכיה עד צומת אבא הלל מקום הצבה 65.6,0,2020,3,35.8,531,302,201,149,227,582,1616,2040,1864,1835,1896,1981,2118,2246,2349,2326,2520,2561,2151,1872,1593,1188,915,755
דרך 4 קטע 300 מק''מ 240.3 עד ק''מ 244.4 מצומת נהרייה עד כניסה לחוף אכזיב מקום הצבה 244.2,0,2017,2,20.7,171,112,82,85,106,415,969,1426,1278,1112,1161,1200,1289,1293,1369,1463,1562,1381,1154,969,764,579,432,299
דרך 4 קטע 300 מק''מ 240.3 עד ק''מ 244.4 מצומת נהרייה עד כניסה לחוף אכזיב מקום הצבה 244.2,0,2018,12,22.5,152,112,78,77,190,706,1263,1676,1264,1181,1227,1313,1378,1416,1540,1911,1565,1430,1194,940,652,528,408,261
דרך 4 קטע 300 מק''מ 240.3 עד ק''מ 244.4 מצומת נהרייה עד כניסה לחוף אכזיב מקום הצבה 244.2,0,2019,12,22.3,168,135,88,82,163,551,1158,1553,1347,1222,1258,1317,1358,1421,1474,1670,1616,1344,1187,1014,769,631,476,305
דרך 4 קטע 300 מק''מ 240.3 עד ק''מ 244.4 מצומת נהרייה עד כניסה לחוף אכזיב מקום הצבה 244.2,0,2021,10,19.5,243,153,115,77,123,335,738,1073,1172,1096,1108,1179,1240,1224,1258,1336,1269,1219,1161,1030,823,652,503,383
דרך 4 קטע 302 מק''מ 244.4 עד ק''מ 248.1 מכניסה לחוף אכזיב עד צומת בצת מקום הצבה 248.3,0,2017,2,13.0,118,71,58,47,65,263,562,954,798,650,671,732,753,770,851,984,971,856,779,675,500,389,285,213
דרך 4 קטע 302 מק''מ 244.4 עד ק''מ 248.1 מכניסה לחוף אכזיב עד צומת בצת מקום הצבה 248.3,0,2018,5,14.1,158,95,72,65,91,340,711,967,813,698,721,752,785,825,867,1005,992,906,816,745,629,447,351,291
דרך 4 קטע 302 מק''מ 244.4 עד ק''מ 248.1 מכניסה לחוף אכזיב עד צומת בצת מקום הצבה 248.3,0,2019,12,14.6,111,77,59,61,104,353,714,1079,868,757,763,819,847,904,1005,1199,1082,898,796,704,502,419,315,204
דרך 4 קטע 302 מק''מ 244.4 עד ק''מ 248.1 מכניסה לחוף אכזיב עד צומת בצת מקום הצבה 248.3,0,2021,10,12.1,136,92,59,41,75,215,442,661,766,647,673,718,740,771,816,881,846,791,724,634,498,381,294,224
דרך 4 קטע 310 מק''מ 248.1 עד ק''מ 250.6 מצומת בצת עד כניסה לראש הנקרה צפון מקום הצבה 248.6,0,2017,2,3.8,29,16,13,9,18,55,111,229,237,192,207,224,260,266,282,297,286,233,211,186,142,112,86,56
דרך 4 קטע 310 מק''מ 248.1 עד ק''מ 250.6 מצומת בצת עד כניסה לראש הנקרה צפון מקום הצבה 248.6,0,2018,12,4.0,31,23,15,15,23,75,141,268,217,202,232,262,275,298,310,328,293,219,202,171,133,114,79,52
דרך 4 קטע 310 מק''מ 248.1 עד ק''מ 250.6 מצומת בצת עד כניסה לראש הנקרה צפון מקום הצבה 248.6,0,2019,7,4.9,55,37,23,18,29,104,161,268,256,236,281,298,331,309,342,347,322,309,302,297,199,160,137,93
דרך 4 קטע 310 מק''מ 248.1 עד ק''מ 250.6 מצומת בצת עד כניסה לראש הנקרה צפון מקום הצבה 248.6,0,2021,10,5.0,59,43,25,15,21,61,136,245,273,245,275,297,301,343,345,359,371,368,339,235,196,167,135,104
דרך 4 קטע 45 מק''מ 69.2 עד ק''מ 72.0 ממחלף אשקלון צפון עד צומת אשכולות מקום הצבה 69.4,0,2017,1,58.5,752,479,360,331,465,1583,3270,3521,3017,3210,3344,3430,3396,3415,3477,3637,3798,3244,3257,3044,2554,2073,1583,1212
דרך 4 קטע 45 מק''מ 69.2 עד ק''מ 72.0 ממחלף אשקלון צפון עד צומת אשכולות מקום הצבה 69.4,0,2018,4,59.9,1027,641,457,381,460,1095,2648,3494,3198,2972,2948,3222,3349,3538,3730,3889,3869,3999,3659,3102,2697,2247,1815,1472
דרך 4 קטע 45 מק''מ 69.2 עד ק''מ 72.0 ממחלף אשקלון צפון עד צומת אשכולות מקום הצבה 69.4,0,2019,11,64.7,901,533,423,413,803,2489,3572,3790,3384,3294,3337,3445,3513,3742,3912,4027,3980,3894,3743,3404,2713,2172,1791,1476
דרך 4 קטע 45 מק''מ 69.2 עד ק''מ 72.0 ממחלף אשקלון צפון עד צומת אשכולות מקום הצבה 69.4,0,2020,6,59.0,1026,587,413,345,547,1891,3561,3238,3083,3157,3231,3243,3334,3432,3709,3614,3398,3300,3085,2733,2570,2211,1800,1460
דרך 4 קטע 45 מק''מ 69.2 עד ק''מ 72.0 ממחלף אשקלון צפון עד צומת אשכולות מקום הצבה 69.4,0,2021,3,45.0,534,321,207,203,332,1120,2421,2364,2403,2639,2731,2875,2837,2869,2909,2929,2879,2624,2407,2239,1851,1396,1064,852
דרך 4 קטע 50 מק''מ 72.0 עד ק''מ 78.0 מצומת אשכולות עד כניסה לאשדוד (דרום) מקום הצבה 72.3,0,2017,1,70.1,1072,653,445,367,469,1256,3005,4183,4179,3671,3543,3672,3821,4048,4337,4875,4861,4386,4327,3788,3286,2469,1849,1503
דרך 4 קטע 50 מק''מ 72.0 עד ק''מ 78.0 מצומת אשכולות עד כניסה לאשדוד (דרום) מקום הצבה 72.3,0,2018,4,68.2,814,514,384,380,673,2177,3774,4391,4114,3489,3658,3769,3825,3974,4105,4352,4377,4271,3665,3231,2813,2353,1803,1305
דרך 4 קטע 50 מק''מ 72.0 עד ק''מ 78.0 מצומת אשכולות עד כניסה לאשדוד (דרום) מקום הצבה 72.3,0,2019,11,66.4,562,435,369,556,1733,3279,4203,3994,3310,3330,3449,3656,3810,4246,4418,4301,4048,3918,3448,2748,2206,1777,1560,1015
דרך 4 קטע 50 מק''מ 72.0 עד ק''מ 78.0 מצומת אשכולות עד כניסה לאשדוד (דרום) מקום הצבה 72.3,0,2020,6,64.4,1115,623,446,378,613,2009,3611,3631,3573,3470,3385,3481,3480,3788,3955,3912,3865,3848,3676,3128,2763,2349,1879,1458
דרך 4 קטע 50 מק''מ 72.0 עד ק''מ 78.0 מצומת אשכולות עד כניסה לאשדוד (דרום) מקום הצבה 72.3,0,2021,3,86.3,1173,667,479,413,683,2248,4390,4730,4403,4714,4797,5036,5002,5121,5385,5397,5407,5212,4831,4396,3933,3222,2576,2100
דרך 4 קטע 54 מק''מ 78.0 עד ק''מ 85.6 מכניסה לאשדוד (דרום) עד מחלף אשדוד מקום הצבה 81.7,0,2017,6,88.7,2210,1243,810,633,667,1233,2928,4569,4390,3993,3975,4286,4614,4967,5052,6139,6404,6312,5547,4848,4289,3560,3069,2975
דרך 4 קטע 54 מק''מ 78.0 עד ק''מ 85.6 מכניסה לאשדוד (דרום) עד מחלף אשדוד מקום הצבה 81.7,0,2018,11,78.5,933,521,435,454,852,3315,5631,5707,5317,4233,3995,3841,4277,4309,4480,4469,4356,4271,3827,3837,3193,2528,2077,1657
דרך 4 קטע 54 מק''מ 78.0 עד ק''מ 85.6 מכניסה לאשדוד (דרום) עד מחלף אשדוד מקום הצבה 81.7,0,2019,11,96.3,921,567,493,561,1278,5288,7031,7154,6157,5452,5067,4965,4777,5420,5578,5339,5251,4997,4697,4610,3723,2927,2309,1736
דרך 4 קטע 54 מק''מ 78.0 עד ק''מ 85.6 מכניסה לאשדוד (דרום) עד מחלף אשדוד מקום הצבה 81.7,0,2020,6,68.1,883,528,353,354,733,2842,3810,4260,3992,3747,3562,3651,3768,4014,4277,4369,3920,3680,3657,3063,2774,2439,1879,1531
דרך 4 קטע 54 מק''מ 78.0 עד ק''מ 85.6 מכניסה לאשדוד (דרום) עד מחלף אשדוד מקום הצבה 81.7,0,2021,5,92.5,1732,981,629,497,698,2046,4749,5569,5456,4927,4821,4859,5114,5313,5656,5774,5664,5299,5080,4553,4227,3438,2891,2477
דרך 4 קטע 57 מק''מ 85.6 עד ק''מ 87.9 ממחלף אשדוד עד מחלף אשדוד צפון מקום הצבה 86.8,0,2021,6,136.1,2704,1851,1288,1468,3128,4443,6278,7776,7681,6625,6579,6689,6845,7088,7365,7755,8319,8310,7839,7114,6017,5242,4293,3408
דרך 4 קטע 61 מק''מ 92.5 עד ק''מ 100.0 ממחלף יבנה עד מחלף חולות מקום הצבה 98.9,0,2020,12,130.7,1460,869,619,516,709,2010,6751,8576,8374,7322,7349,7446,7515,7603,8072,9196,9273,8288,7559,6506,5244,3996,3178,2257
דרך 4 קטע 61 מק''מ 92.5 עד ק''מ 100.0 ממחלף יבנה עד מחלף חולות מקום הצבה 98.9,0,2021,6,154.2,3440,2341,1688,1732,3616,5142,6808,8639,8641,8119,7968,7821,7722,7930,8325,8781,8878,8784,8031,7207,6745,6133,5370,4379
דרך 4 קטע 62 מק''מ 100.0 עד ק''מ 102.0 ממחלף חולות עד מחלף ראשון דרום מקום הצבה 101.0,0,2020,12,78.7,1024,685,442,417,606,1721,4522,5255,5057,4452,4483,4416,4511,4576,4915,5331,5267,4932,4256,3465,2763,2255,1880,1430
דרך 4 קטע 70 מק''מ 103.5 עד ק''מ 105.0 ממחלף גן רווה עד מחלף ראשון לציון מקום הצבה 103.8,0,2020,12,151.5,2115,1206,741,574,831,2703,6751,7991,8098,8439,8918,9191,9335,9370,9348,9666,9794,9465,9190,8424,6894,5389,4113,2958
דרך 4 קטע 70 מק''מ 103.5 עד ק''מ 105.0 ממחלף גן רווה עד מחלף ראשון לציון מקום הצבה 103.8,0,2021,11,156.6,2380,1543,1035,806,1370,2964,7002,7971,8380,8351,8944,9198,9536,9571,9497,9817,10010,9900,9805,8455,6988,5491,4408,3199
דרך 4 קטע 80 מק''מ 105.0 עד ק''מ 106.8 ממחלף ראשון לציון עד מחלף חולון מזרח מקום הצבה 106.0,0,2021,8,196.0,4595,2861,1743,1326,2178,3284,8043,9778,10489,10512,10795,10883,10970,11059,11078,11627,11378,11268,11168,10426,9666,8819,6876,5212
דרך 4 קטע 84 מק''מ 106.8 עד ק''מ 109.3 ממחלף חולון מזרח עד מחלף השבעה מקום הצבה 108.0,0,2020,12,124.5,1390,823,538,319,424,1423,6219,7199,7246,7168,7522,7921,8074,8033,8151,8067,7786,7333,7212,6725,5245,4339,3313,2073
