,stationId,Rain,WSmax,WDmax,WS,WD,STDwd,TD,RH,TDmax,TDmin,WS1mm,Ws10mm,year,month,TG,avg_month_road_loads
27,274,0.0,3.099999999999999,200.76223776223776,1.5720279720279715,197.47552447552448,19.793006993007,16.85804195804196,82.32167832167832,17.13216783216784,16.59090909090909,2.3090909090909104,1.752447552447552,2018,4,,68.2
28,274,0.0,2.176223776223776,170.2237762237762,0.9762237762237764,171.04895104895104,25.10069930069932,20.269230769230774,79.47552447552448,20.497202797202803,20.044755244755244,1.4916083916083918,1.095104895104895,2019,11,,66.4
29,274,0.0,3.3734265734265736,168.73426573426573,1.7202797202797198,164.27972027972027,24.33146853146853,21.43146853146853,67.02097902097903,21.68041958041958,21.1916083916084,2.455244755244756,1.8818181818181807,2020,6,,64.4
30,274,0.0097902097902097,3.703496503496505,181.25874125874125,2.222377622377623,184.32167832167832,14.579720279720286,13.248251748251745,85.66433566433567,13.397902097902096,13.077622377622376,2.924475524475525,2.4181818181818184,2021,3,,86.3
31,44,0.0041958041958041,2.85104895104895,192.72727272727272,1.5349650349650354,192.13286713286712,19.518181818181823,19.75104895104896,70.27272727272727,19.937762237762247,19.561538461538444,2.297202797202798,1.743356643356644,2017,11,21.583916083916083,15.9
32,44,0.0,2.7433566433566425,128.94405594405595,1.4664335664335673,123.93706293706292,22.740559440559444,12.274825174825176,75.44055944055944,12.48321678321678,12.072727272727269,2.175524475524476,1.6517482517482518,2018,2,12.61608391608392,16.2
33,44,0.0,2.949650349650349,166.27272727272728,1.688111888111887,167.35664335664336,18.204895104895105,20.51188811188812,77.97902097902097,20.706993006993,20.304895104895103,2.3531468531468525,1.868531468531468,2019,11,21.8867132867133,16.3
34,44,0.0,3.95734265734266,214.63636363636363,2.1671328671328656,214.53846153846155,18.725874125874128,24.82167832167832,77.27972027972028,25.04405594405593,24.62027972027973,3.079020979020979,2.3538461538461526,2020,7,29.909790209790213,13.7
35,44,0.0,3.047101449275363,184.2246376811594,1.5884057971014487,180.43478260869568,16.955797101449278,28.305797101449283,74.52173913043478,28.4768115942029,28.12681159420291,2.3724637681159426,1.758695652173913,2021,8,32.448550724637684,16.8
36,46,0.0,5.556643356643356,62.02797202797203,3.96153846153846,61.35664335664335,9.35034965034965,18.929370629370634,52.48951048951049,19.07692307692308,18.785314685314685,4.703496503496503,4.186013986013987,2017,12,,36.4
37,46,0.0,6.16993006993007,143.44755244755245,4.979720279720277,124.72727272727272,15.43216783216783,17.855944055944054,85.02797202797203,17.98671328671329,17.72237762237762,5.646853146853145,5.234965034965032,2018,4,,36.1
38,46,0.0,4.556643356643354,292.6223776223776,3.3573426573426586,288.73426573426576,10.196503496503489,27.841958041958044,72.44055944055944,27.906993006993023,27.781818181818192,4.108391608391607,3.54895104895105,2019,8,,38.1
39,46,0.0097902097902097,10.171328671328665,283.43356643356645,7.90489510489511,281.93706293706293,6.655244755244754,15.671328671328665,67.91608391608392,15.8027972027972,15.541958041958049,9.110489510489508,8.253846153846153,2020,3,,36.8
40,46,0.0,5.486713286713289,69.7132867132867,3.756643356643356,70.14685314685315,10.21188811188811,17.55524475524475,63.2027972027972,17.664335664335667,17.45034965034965,4.553846153846151,3.979720279720279,2021,1,,26.0
41,106,0.0,8.778321678321673,153.4055944055944,5.4622377622377645,146.8881118881119,13.662237762237758,8.860839160839161,57.02797202797203,9.026573426573426,8.698601398601394,7.148951048951051,5.870629370629371,2017,2,,3.8
42,106,0.0118881118881118,6.371328671328671,128.3916083916084,4.7048951048951055,129.64335664335664,7.54475524475524,16.926573426573427,81.82352941176471,17.06643356643356,16.79020979020978,5.50699300699301,4.909090909090908,2018,12,,4.0
43,106,0.0,7.6972027972028,172.4125874125874,5.3258741258741225,152.3146853146853,10.992307692307696,27.9062937062937,66.65034965034965,28.06783216783217,27.76083916083916,6.441258741258741,5.544755244755243,2019,7,,4.9
44,106,0.0,6.443356643356641,156.65034965034965,4.559440559440558,159.1118881118881,9.593706293706294,24.40909090909091,76.44755244755245,24.516783216783203,24.296503496503504,5.473426573426572,4.764335664335664,2021,10,,5.0
45,107,0.002097902097902,,,,,,20.11118881118881,67.39160839160839,20.28811188811189,19.92867132867133,,,2017,11,21.65594405594407,39.1
46,107,0.0,,,,,,11.221678321678326,75.12587412587412,11.385314685314684,11.05454545454545,,,2018,2,12.103496503496505,35.0
47,107,0.0839160839160839,,,,,,13.789510489510482,89.42657342657343,13.905594405594403,13.672027972027973,,,2019,4,14.492307692307692,36.4
48,107,0.0307692307692307,,,,,,14.47692307692308,80.79020979020979,14.637762237762232,14.332867132867133,,,2020,3,15.094405594405597,43.2
49,107,0.0,,,,,,15.245454545454557,74.07692307692308,15.449650349650348,15.047552447552444,,,2021,1,13.651748251748243,43.3
50,107,0.0279720279720279,,,,,,14.792307692307697,78.98601398601399,14.869930069930076,14.717482517482525,,,2022,1,14.424475524475527,40.8
